[2024-05-22T04:50:59.165+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: name_gender_v2.perform_etl scheduled__2024-05-21T02:00:00+00:00 [queued]>
[2024-05-22T04:50:59.169+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: name_gender_v2.perform_etl scheduled__2024-05-21T02:00:00+00:00 [queued]>
[2024-05-22T04:50:59.169+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2024-05-22T04:50:59.175+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): perform_etl> on 2024-05-21 02:00:00+00:00
[2024-05-22T04:50:59.178+0000] {standard_task_runner.py:57} INFO - Started process 422 to run task
[2024-05-22T04:50:59.180+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'name_gender_v2', 'perform_etl', 'scheduled__2024-05-21T02:00:00+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/NameGenderCSVtoRedshift_v2.py', '--cfg-path', '/tmp/tmpqfl7cwh1']
[2024-05-22T04:50:59.183+0000] {standard_task_runner.py:85} INFO - Job 16: Subtask perform_etl
[2024-05-22T04:50:59.209+0000] {task_command.py:416} INFO - Running <TaskInstance: name_gender_v2.perform_etl scheduled__2024-05-21T02:00:00+00:00 [running]> on host b8721ae4b73c
[2024-05-22T04:50:59.245+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='name_gender_v2' AIRFLOW_CTX_TASK_ID='perform_etl' AIRFLOW_CTX_EXECUTION_DATE='2024-05-21T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-05-21T02:00:00+00:00'
[2024-05-22T04:50:59.247+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/utils/context.py:314: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(k, replacements))

[2024-05-22T04:50:59.246+0000] {NameGenderCSVtoRedshift_v2.py:76} INFO - 2024-05-21T02:00:00+00:00
[2024-05-22T04:50:59.247+0000] {NameGenderCSVtoRedshift_v2.py:24} INFO - Extract started
[2024-05-22T04:50:59.776+0000] {NameGenderCSVtoRedshift_v2.py:26} INFO - Extract done
[2024-05-22T04:50:59.777+0000] {NameGenderCSVtoRedshift_v2.py:31} INFO - Transform started
[2024-05-22T04:50:59.778+0000] {NameGenderCSVtoRedshift_v2.py:37} INFO - Transform ended
[2024-05-22T04:50:59.778+0000] {NameGenderCSVtoRedshift_v2.py:42} INFO - load started
[2024-05-22T04:51:01.749+0000] {logging_mixin.py:154} INFO - Aislyn - F
[2024-05-22T04:51:01.792+0000] {logging_mixin.py:154} INFO - Adaleine - F
[2024-05-22T04:51:01.839+0000] {logging_mixin.py:154} INFO - Anthnoy - M
[2024-05-22T04:51:01.883+0000] {logging_mixin.py:154} INFO - Algernon - M
[2024-05-22T04:51:01.939+0000] {logging_mixin.py:154} INFO - Aeryona - F
[2024-05-22T04:51:01.986+0000] {logging_mixin.py:154} INFO - Adrinne - F
[2024-05-22T04:51:02.038+0000] {logging_mixin.py:154} INFO - Addell - F
[2024-05-22T04:51:02.082+0000] {logging_mixin.py:154} INFO - Avril - F
[2024-05-22T04:51:02.131+0000] {logging_mixin.py:154} INFO - Ahni - F
[2024-05-22T04:51:02.179+0000] {logging_mixin.py:154} INFO - Aimon - M
[2024-05-22T04:51:02.228+0000] {logging_mixin.py:154} INFO - Adolpho - M
[2024-05-22T04:51:02.270+0000] {logging_mixin.py:154} INFO - Ahuva - F
[2024-05-22T04:51:02.326+0000] {logging_mixin.py:154} INFO - Aurielle - F
[2024-05-22T04:51:02.374+0000] {logging_mixin.py:154} INFO - Aveana - F
[2024-05-22T04:51:02.423+0000] {logging_mixin.py:154} INFO - Aliyia - F
[2024-05-22T04:51:02.473+0000] {logging_mixin.py:154} INFO - Alesander - M
[2024-05-22T04:51:02.504+0000] {logging_mixin.py:154} INFO - Adnrea - F
[2024-05-22T04:51:02.543+0000] {logging_mixin.py:154} INFO - Anjae - F
[2024-05-22T04:51:02.582+0000] {logging_mixin.py:154} INFO - Alvine - F
[2024-05-22T04:51:02.628+0000] {logging_mixin.py:154} INFO - Adorah - F
[2024-05-22T04:51:02.685+0000] {logging_mixin.py:154} INFO - Adlemi - F
[2024-05-22T04:51:02.720+0000] {logging_mixin.py:154} INFO - Alesi - F
[2024-05-22T04:51:02.753+0000] {logging_mixin.py:154} INFO - Alontae - M
[2024-05-22T04:51:02.821+0000] {logging_mixin.py:154} INFO - Antonny - M
[2024-05-22T04:51:02.860+0000] {logging_mixin.py:154} INFO - Adarah - F
[2024-05-22T04:51:02.905+0000] {logging_mixin.py:154} INFO - Ayreanna - F
[2024-05-22T04:51:02.954+0000] {logging_mixin.py:154} INFO - Antyon - M
[2024-05-22T04:51:02.991+0000] {logging_mixin.py:154} INFO - Andia - F
[2024-05-22T04:51:03.025+0000] {logging_mixin.py:154} INFO - Ashla - F
[2024-05-22T04:51:03.067+0000] {logging_mixin.py:154} INFO - Aspyn - F
[2024-05-22T04:51:03.113+0000] {logging_mixin.py:154} INFO - Antwanett - F
[2024-05-22T04:51:03.146+0000] {logging_mixin.py:154} INFO - Aundreia - F
[2024-05-22T04:51:03.181+0000] {logging_mixin.py:154} INFO - Audella - F
[2024-05-22T04:51:03.215+0000] {logging_mixin.py:154} INFO - Amari - Unisex
[2024-05-22T04:51:03.254+0000] {logging_mixin.py:154} INFO - Arsha - Unisex
[2024-05-22T04:51:03.305+0000] {logging_mixin.py:154} INFO - Aricella - F
[2024-05-22T04:51:03.343+0000] {logging_mixin.py:154} INFO - Adan - M
[2024-05-22T04:51:03.375+0000] {logging_mixin.py:154} INFO - Apasra - F
[2024-05-22T04:51:03.412+0000] {logging_mixin.py:154} INFO - Alaysha - F
[2024-05-22T04:51:03.448+0000] {logging_mixin.py:154} INFO - Anderson - M
[2024-05-22T04:51:03.483+0000] {logging_mixin.py:154} INFO - Aurelius - M
[2024-05-22T04:51:03.521+0000] {logging_mixin.py:154} INFO - Aerial - F
[2024-05-22T04:51:03.616+0000] {logging_mixin.py:154} INFO - Averleigh - F
[2024-05-22T04:51:03.661+0000] {logging_mixin.py:154} INFO - Aslean - F
[2024-05-22T04:51:03.694+0000] {logging_mixin.py:154} INFO - Arniesha - F
[2024-05-22T04:51:03.728+0000] {logging_mixin.py:154} INFO - Asyana - F
[2024-05-22T04:51:03.766+0000] {logging_mixin.py:154} INFO - Annjane - F
[2024-05-22T04:51:03.803+0000] {logging_mixin.py:154} INFO - Amabella - F
[2024-05-22T04:51:03.834+0000] {logging_mixin.py:154} INFO - Austinjohn - M
[2024-05-22T04:51:03.870+0000] {logging_mixin.py:154} INFO - Arloween - F
[2024-05-22T04:51:03.904+0000] {logging_mixin.py:154} INFO - Alula - M
[2024-05-22T04:51:03.940+0000] {logging_mixin.py:154} INFO - Anemone - F
[2024-05-22T04:51:04.052+0000] {logging_mixin.py:154} INFO - Amorina - F
[2024-05-22T04:51:04.091+0000] {logging_mixin.py:154} INFO - Anureet - F
[2024-05-22T04:51:04.121+0000] {logging_mixin.py:154} INFO - Arric - M
[2024-05-22T04:51:04.154+0000] {logging_mixin.py:154} INFO - Antonne - M
[2024-05-22T04:51:04.191+0000] {logging_mixin.py:154} INFO - Alyre - M
[2024-05-22T04:51:04.227+0000] {logging_mixin.py:154} INFO - Annaise - F
[2024-05-22T04:51:04.306+0000] {NameGenderCSVtoRedshift_v2.py:67} INFO - load done
[2024-05-22T04:51:04.308+0000] {python.py:194} INFO - Done. Returned value was: None
[2024-05-22T04:51:04.320+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=name_gender_v2, task_id=perform_etl, execution_date=20240521T020000, start_date=20240522T045059, end_date=20240522T045104
[2024-05-22T04:51:04.357+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2024-05-22T04:51:04.374+0000] {taskinstance.py:2778} INFO - 0 downstream tasks scheduled from follow-on schedule check
